date,COUNT,Status Code,Branch Name,Month,Year
9/1/2015,70,C,FR1,9,2015
10/1/2015,798,C,FR1,10,2015
10/1/2015,282,C,IT2,10,2015
10/1/2015,19,C,IT2,10,2015
10/1/2015,12,C,SP3,10,2015
10/1/2015,22,C,SP3,10,2015
11/1/2015,1131,C,FR1,11,2015
11/1/2015,217,C,FR1,11,2015
11/1/2015,210,C,IT2,11,2015
11/1/2015,8,C,IT2,11,2015
11/1/2015,58,C,SP3,11,2015
11/1/2015,14,C,SP3,11,2015
12/1/2015,798,C,FR1,12,2015
12/1/2015,4,C,FR1,12,2015
12/1/2015,393,C,IT2,12,2015
12/1/2015,1,C,IT2,12,2015
12/1/2015,112,C,SP3,12,2015
9/1/2015,8,UE,FR1,9,2015
10/1/2015,49,UE,FR1,10,2015
10/1/2015,2,UE,SP3,10,2015
10/1/2015,1,UE,SP3,10,2015
11/1/2015,73,UE,FR1,11,2015
11/1/2015,21,UE,FR1,11,2015
11/1/2015,5,UE,SP3,11,2015
12/1/2015,52,UE,FR1,12,2015
12/1/2015,7,UE,SP3,12,2015
9/1/2015,7,UE,FR1,9,2015
10/1/2015,11,UE,FR1,10,2015
11/1/2015,2,UE,FR1,11,2015
11/1/2015,1,UE,IT2,11,2015
12/1/2015,1,UE,FR1,12,2015
12/1/2015,1,UE,IT2,12,2015
1/1/2016,204,C,FR1,1,2016
1/1/2016,21,C,FR1,1,2016
1/1/2016,326,C,IT2,1,2016
1/1/2016,9,C,IT2,1,2016
1/1/2016,88,C,SP3,1,2016
2/1/2016,208,C,FR1,2,2016
2/1/2016,332,C,IT2,2,2016
2/1/2016,113,C,SP3,2,2016
2/1/2016,1,C,SP3,2,2016
3/1/2016,163,C,FR1,3,2016
3/1/2016,347,C,IT2,3,2016
3/1/2016,101,C,SP3,3,2016
4/1/2016,209,C,FR1,4,2016
4/1/2016,19,C,FR1,4,2016
4/1/2016,422,C,IT2,4,2016
4/1/2016,28,C,IT2,4,2016
4/1/2016,99,C,SP3,4,2016
4/1/2016,3,C,SP3,4,2016
5/1/2016,528,C,FR1,5,2016
5/1/2016,6,C,FR1,5,2016
5/1/2016,609,C,IT2,5,2016
5/1/2016,14,C,IT2,5,2016
5/1/2016,104,C,SP3,5,2016
6/1/2016,1419,C,FR1,6,2016
6/1/2016,539,C,IT2,6,2016
6/1/2016,111,C,SP3,6,2016
7/1/2016,493,C,FR1,7,2016
7/1/2016,13,C,FR1,7,2016
7/1/2016,779,C,IT2,7,2016
7/1/2016,114,C,SP3,7,2016
8/1/2016,99,C,FR1,8,2016
8/1/2016,65,C,FR1,8,2016
8/1/2016,244,C,IT2,8,2016
8/1/2016,37,C,IT2,8,2016
8/1/2016,48,C,SP3,8,2016
11/1/2016,775,C,FR1,11,2016
11/1/2016,11,C,FR1,11,2016
11/1/2016,251,C,IT2,11,2016
12/1/2016,1063,C,FR1,12,2016
12/1/2016,294,C,IT2,12,2016
12/1/2016,67,C,IT2,12,2016
12/1/2016,18,C,SP3,12,2016
12/1/2016,3,C,SP3,12,2016
11/1/2016,40,EE,IT2,11,2016
12/1/2016,86,EE,IT2,12,2016
12/1/2016,11,EE,IT2,12,2016
1/1/2016,20,UE,FR1,1,2016
1/1/2016,8,UE,FR1,1,2016
1/1/2016,3,UE,SP3,1,2016
2/1/2016,11,UE,FR1,2,2016
2/1/2016,5,UE,SP3,2,2016
3/1/2016,14,UE,FR1,3,2016
3/1/2016,9,UE,SP3,3,2016
4/1/2016,13,UE,FR1,4,2016
4/1/2016,11,UE,SP3,4,2016
5/1/2016,78,UE,FR1,5,2016
5/1/2016,4,UE,FR1,5,2016
5/1/2016,5,UE,SP3,5,2016
6/1/2016,70,UE,FR1,6,2016
6/1/2016,4,UE,SP3,6,2016
7/1/2016,15,UE,FR1,7,2016
7/1/2016,2,UE,FR1,7,2016
8/1/2016,5,UE,FR1,8,2016
8/1/2016,4,UE,FR1,8,2016
11/1/2016,38,UE,FR1,11,2016
11/1/2016,4,UE,IT2,11,2016
12/1/2016,53,UE,FR1,12,2016
12/1/2016,10,UE,IT2,12,2016
12/1/2016,4,UE,IT2,12,2016
12/1/2016,6,UE,SP3,12,2016
12/1/2016,1,UE,SP3,12,2016
1/1/2016,2,UE,FR1,1,2016
1/1/2016,2,UE,IT2,1,2016
2/1/2016,12,UE,FR1,2,2016
2/1/2016,16,UE,IT2,2,2016
2/1/2016,1,UE,SP3,2,2016
3/1/2016,24,UE,FR1,3,2016
3/1/2016,1,UE,IT2,3,2016
3/1/2016,4,UE,SP3,3,2016
4/1/2016,12,UE,FR1,4,2016
4/1/2016,3,UE,IT2,4,2016
5/1/2016,8,UE,FR1,5,2016
5/1/2016,4,UE,IT2,5,2016
5/1/2016,4,UE,SP3,5,2016
6/1/2016,8,UE,FR1,6,2016
7/1/2016,4,UE,FR1,7,2016
7/1/2016,6,UE,IT2,7,2016
8/1/2016,1,UE,FR1,8,2016
8/1/2016,31,UE,FR1,8,2016
8/1/2016,22,UE,IT2,8,2016
11/1/2016,8,UE,FR1,11,2016
11/1/2016,4,UE,IT2,11,2016
12/1/2016,7,UE,FR1,12,2016
12/1/2016,18,UE,IT2,12,2016
12/1/2016,6,UE,IT2,12,2016
12/1/2016,2,UE,SP3,12,2016
1/1/2017,577,C,FR1,1,2017
1/1/2017,376,C,IT2,1,2017
1/1/2017,82,C,SP3,1,2017
2/1/2017,474,C,FR1,2,2017
2/1/2017,423,C,IT2,2,2017
2/1/2017,70,C,SP3,2,2017
3/1/2017,239,C,FR1,3,2017
3/1/2017,88,C,IT2,3,2017
3/1/2017,5,C,SP3,3,2017
4/1/2017,577,C,FR1,4,2017
4/1/2017,291,C,IT2,4,2017
4/1/2017,32,C,SP3,4,2017
5/1/2017,460,C,FR1,5,2017
5/1/2017,457,C,IT2,5,2017
5/1/2017,106,C,SP3,5,2017
6/1/2017,891,C,FR1,6,2017
6/1/2017,26,C,FR1,6,2017
6/1/2017,466,C,IT2,6,2017
6/1/2017,105,C,SP3,6,2017
7/1/2017,398,C,FR1,7,2017
7/1/2017,8,C,FR1,7,2017
7/1/2017,460,C,IT2,7,2017
7/1/2017,92,C,SP3,7,2017
8/1/2017,371,C,FR1,8,2017
8/1/2017,3,C,FR1,8,2017
8/1/2017,240,C,IT2,8,2017
8/1/2017,94,C,SP3,8,2017
9/1/2017,354,C,FR1,9,2017
9/1/2017,341,C,IT2,9,2017
9/1/2017,90,C,SP3,9,2017
10/1/2017,2030,C,FR1,10,2017
10/1/2017,135,C,FR1,10,2017
10/1/2017,489,C,IT2,10,2017
10/1/2017,2,C,IT2,10,2017
10/1/2017,132,C,SP3,10,2017
11/1/2017,1822,C,FR1,11,2017
11/1/2017,73,C,FR1,11,2017
11/1/2017,575,C,IT2,11,2017
11/1/2017,156,C,SP3,11,2017
12/1/2017,300,C,FR1,12,2017
12/1/2017,7,C,FR1,12,2017
12/1/2017,428,C,IT2,12,2017
12/1/2017,75,C,IT2,12,2017
12/1/2017,117,C,SP3,12,2017
1/1/2017,35,EE,IT2,1,2017
1/1/2017,2,EE,IT2,1,2017
2/1/2017,37,EE,IT2,2,2017
2/1/2017,2,EE,SP3,2,2017
3/1/2017,32,EE,IT2,3,2017
3/1/2017,1,EE,SP3,3,2017
4/1/2017,63,EE,IT2,4,2017
5/1/2017,49,EE,IT2,5,2017
5/1/2017,1,EE,IT2,5,2017
6/1/2017,49,EE,IT2,6,2017
7/1/2017,45,EE,IT2,7,2017
8/1/2017,24,EE,IT2,8,2017
9/1/2017,25,EE,IT2,9,2017
10/1/2017,70,EE,IT2,10,2017
10/1/2017,4,EE,IT2,10,2017
11/1/2017,23,EE,IT2,11,2017
12/1/2017,74,EE,IT2,12,2017
12/1/2017,2,EE,IT2,12,2017
1/1/2017,48,UE,FR1,1,2017
1/1/2017,8,UE,IT2,1,2017
1/1/2017,2,UE,IT2,1,2017
1/1/2017,20,UE,SP3,1,2017
2/1/2017,48,UE,FR1,2,2017
2/1/2017,1,UE,IT2,2,2017
2/1/2017,6,UE,SP3,2,2017
3/1/2017,9,UE,FR1,3,2017
3/1/2017,1,UE,IT2,3,2017
4/1/2017,23,UE,FR1,4,2017
4/1/2017,13,UE,SP3,4,2017
5/1/2017,12,UE,FR1,5,2017
5/1/2017,1,UE,IT2,5,2017
5/1/2017,6,UE,SP3,5,2017
5/1/2017,1,UE,SP3,5,2017
6/1/2017,33,UE,FR1,6,2017
6/1/2017,2,UE,FR1,6,2017
6/1/2017,1,UE,IT2,6,2017
6/1/2017,4,UE,SP3,6,2017
7/1/2017,11,UE,FR1,7,2017
7/1/2017,1,UE,FR1,7,2017
7/1/2017,1,UE,IT2,7,2017
7/1/2017,5,UE,SP3,7,2017
8/1/2017,21,UE,FR1,8,2017
8/1/2017,4,UE,SP3,8,2017
9/1/2017,16,UE,FR1,9,2017
9/1/2017,2,UE,IT2,9,2017
9/1/2017,4,UE,SP3,9,2017
10/1/2017,170,UE,FR1,10,2017
10/1/2017,24,UE,FR1,10,2017
10/1/2017,15,UE,IT2,10,2017
10/1/2017,8,UE,SP3,10,2017
11/1/2017,85,UE,FR1,11,2017
11/1/2017,5,UE,FR1,11,2017
11/1/2017,4,UE,IT2,11,2017
11/1/2017,4,UE,SP3,11,2017
12/1/2017,43,UE,FR1,12,2017
12/1/2017,7,UE,IT2,12,2017
12/1/2017,4,UE,SP3,12,2017
1/1/2017,8,UE,FR1,1,2017
1/1/2017,25,UE,IT2,1,2017
1/1/2017,1,UE,IT2,1,2017
2/1/2017,5,UE,FR1,2,2017
2/1/2017,56,UE,IT2,2,2017
2/1/2017,23,UE,SP3,2,2017
3/1/2017,1,UE,FR1,3,2017
3/1/2017,1,UE,IT2,3,2017
4/1/2017,2,UE,FR1,4,2017
4/1/2017,102,UE,IT2,4,2017
4/1/2017,16,UE,SP3,4,2017
5/1/2017,3,UE,FR1,5,2017
5/1/2017,9,UE,IT2,5,2017
6/1/2017,4,UE,FR1,6,2017
6/1/2017,5,UE,IT2,6,2017
7/1/2017,2,UE,FR1,7,2017
7/1/2017,11,UE,IT2,7,2017
8/1/2017,1,UE,FR1,8,2017
8/1/2017,69,UE,IT2,8,2017
8/1/2017,15,UE,SP3,8,2017
9/1/2017,1,UE,FR1,9,2017
9/1/2017,5,UE,IT2,9,2017
10/1/2017,10,UE,FR1,10,2017
10/1/2017,2,UE,FR1,10,2017
10/1/2017,36,UE,IT2,10,2017
10/1/2017,1,UE,SP3,10,2017
11/1/2017,6,UE,FR1,11,2017
11/1/2017,25,UE,IT2,11,2017
11/1/2017,1,UE,SP3,11,2017
12/1/2017,10,UE,FR1,12,2017
12/1/2017,71,UE,IT2,12,2017
12/1/2017,5,UE,IT2,12,2017
1/1/2018,523,C,FR1,1,2018
1/1/2018,11,C,FR1,1,2018
1/1/2018,540,C,IT2,1,2018
1/1/2018,16,C,IT2,1,2018
1/1/2018,172,C,SP3,1,2018
2/1/2018,414,C,FR1,2,2018
2/1/2018,6,C,FR1,2,2018
2/1/2018,528,C,IT2,2,2018
2/1/2018,37,C,IT2,2,2018
2/1/2018,115,C,SP3,2,2018
2/1/2018,49,C,SP3,2,2018
3/1/2018,479,C,FR1,3,2018
3/1/2018,43,C,FR1,3,2018
3/1/2018,603,C,IT2,3,2018
3/1/2018,1,C,IT2,3,2018
3/1/2018,93,C,SP3,3,2018
4/1/2018,701,C,FR1,4,2018
4/1/2018,32,C,FR1,4,2018
4/1/2018,548,C,IT2,4,2018
4/1/2018,43,C,IT2,4,2018
4/1/2018,98,C,SP3,4,2018
4/1/2018,5,C,SP3,4,2018
5/1/2018,525,C,FR1,5,2018
5/1/2018,7,C,FR1,5,2018
5/1/2018,617,C,IT2,5,2018
5/1/2018,19,C,IT2,5,2018
5/1/2018,87,C,SP3,5,2018
5/1/2018,6,C,SP3,5,2018
6/1/2018,433,C,FR1,6,2018
6/1/2018,96,C,FR1,6,2018
6/1/2018,585,C,IT2,6,2018
6/1/2018,36,C,IT2,6,2018
6/1/2018,139,C,SP3,6,2018
6/1/2018,10,C,SP3,6,2018
7/1/2018,302,C,FR1,7,2018
7/1/2018,559,C,IT2,7,2018
7/1/2018,150,C,SP3,7,2018
8/1/2018,314,C,FR1,8,2018
8/1/2018,15,C,FR1,8,2018
8/1/2018,676,C,IT2,8,2018
8/1/2018,35,C,IT2,8,2018
8/1/2018,121,C,SP3,8,2018
8/1/2018,2,C,SP3,8,2018
9/1/2018,1541,C,FR1,9,2018
9/1/2018,6,C,FR1,9,2018
9/1/2018,388,C,IT2,9,2018
9/1/2018,39,C,IT2,9,2018
9/1/2018,151,C,SP3,9,2018
10/1/2018,2044,C,FR1,10,2018
10/1/2018,226,C,FR1,10,2018
10/1/2018,711,C,IT2,10,2018
10/1/2018,3,C,IT2,10,2018
10/1/2018,160,C,SP3,10,2018
10/1/2018,2,C,SP3,10,2018
11/1/2018,730,C,FR1,11,2018
11/1/2018,7,C,FR1,11,2018
11/1/2018,467,C,IT2,11,2018
11/1/2018,31,C,IT2,11,2018
11/1/2018,151,C,SP3,11,2018
11/1/2018,1,C,SP3,11,2018
12/1/2018,420,C,FR1,12,2018
12/1/2018,34,C,FR1,12,2018
12/1/2018,484,C,IT2,12,2018
12/1/2018,34,C,IT2,12,2018
12/1/2018,113,C,SP3,12,2018
1/1/2018,36,EE,IT2,1,2018
2/1/2018,10,EE,IT2,2,2018
3/1/2018,31,EE,IT2,3,2018
4/1/2018,19,EE,IT2,4,2018
4/1/2018,1,EE,IT2,4,2018
5/1/2018,36,EE,IT2,5,2018
5/1/2018,4,EE,IT2,5,2018
6/1/2018,22,EE,IT2,6,2018
6/1/2018,5,EE,IT2,6,2018
7/1/2018,34,EE,IT2,7,2018
7/1/2018,1,EE,IT2,7,2018
8/1/2018,53,EE,IT2,8,2018
8/1/2018,6,EE,IT2,8,2018
9/1/2018,43,EE,IT2,9,2018
9/1/2018,4,EE,IT2,9,2018
10/1/2018,71,EE,IT2,10,2018
10/1/2018,1,EE,IT2,10,2018
11/1/2018,55,EE,IT2,11,2018
11/1/2018,2,EE,IT2,11,2018
12/1/2018,54,EE,IT2,12,2018
12/1/2018,3,EE,IT2,12,2018
1/1/2018,34,UE,FR1,1,2018
1/1/2018,1,UE,FR1,1,2018
1/1/2018,2,UE,IT2,1,2018
1/1/2018,3,UE,SP3,1,2018
2/1/2018,38,UE,FR1,2,2018
2/1/2018,2,UE,IT2,2,2018
2/1/2018,7,UE,SP3,2,2018
3/1/2018,25,UE,FR1,3,2018
3/1/2018,6,UE,IT2,3,2018
3/1/2018,3,UE,SP3,3,2018
4/1/2018,55,UE,FR1,4,2018
4/1/2018,4,UE,FR1,4,2018
4/1/2018,10,UE,IT2,4,2018
4/1/2018,4,UE,IT2,4,2018
4/1/2018,14,UE,SP3,4,2018
4/1/2018,1,UE,SP3,4,2018
5/1/2018,39,UE,FR1,5,2018
5/1/2018,1,UE,FR1,5,2018
5/1/2018,15,UE,IT2,5,2018
5/1/2018,4,UE,SP3,5,2018
6/1/2018,24,UE,FR1,6,2018
6/1/2018,5,UE,FR1,6,2018
6/1/2018,36,UE,IT2,6,2018
6/1/2018,7,UE,IT2,6,2018
6/1/2018,11,UE,SP3,6,2018
6/1/2018,1,UE,SP3,6,2018
7/1/2018,29,UE,FR1,7,2018
7/1/2018,3,UE,IT2,7,2018
7/1/2018,7,UE,SP3,7,2018
8/1/2018,35,UE,FR1,8,2018
8/1/2018,1,UE,FR1,8,2018
8/1/2018,18,UE,IT2,8,2018
8/1/2018,10,UE,SP3,8,2018
9/1/2018,84,UE,FR1,9,2018
9/1/2018,2,UE,FR1,9,2018
9/1/2018,4,UE,IT2,9,2018
9/1/2018,1,UE,IT2,9,2018
9/1/2018,9,UE,SP3,9,2018
10/1/2018,108,UE,FR1,10,2018
10/1/2018,36,UE,FR1,10,2018
10/1/2018,4,UE,IT2,10,2018
10/1/2018,8,UE,SP3,10,2018
11/1/2018,41,UE,FR1,11,2018
11/1/2018,1,UE,FR1,11,2018
11/1/2018,11,UE,IT2,11,2018
11/1/2018,3,UE,SP3,11,2018
12/1/2018,31,UE,FR1,12,2018
12/1/2018,33,UE,IT2,12,2018
12/1/2018,6,UE,SP3,12,2018
1/1/2018,12,UE,FR1,1,2018
1/1/2018,49,UE,IT2,1,2018
1/1/2018,12,UE,SP3,1,2018
2/1/2018,8,UE,FR1,2,2018
2/1/2018,1,UE,FR1,2,2018
2/1/2018,28,UE,IT2,2,2018
2/1/2018,1,UE,IT2,2,2018
3/1/2018,12,UE,FR1,3,2018
3/1/2018,90,UE,IT2,3,2018
3/1/2018,4,UE,IT2,3,2018
3/1/2018,4,UE,SP3,3,2018
4/1/2018,12,UE,FR1,4,2018
4/1/2018,4,UE,FR1,4,2018
4/1/2018,33,UE,IT2,4,2018
4/1/2018,2,UE,IT2,4,2018
4/1/2018,1,UE,SP3,4,2018
5/1/2018,31,UE,IT2,5,2018
5/1/2018,1,UE,SP3,5,2018
5/1/2018,1,UE,SP3,5,2018
6/1/2018,3,UE,FR1,6,2018
6/1/2018,1,UE,FR1,6,2018
6/1/2018,19,UE,IT2,6,2018
6/1/2018,1,UE,IT2,6,2018
6/1/2018,10,UE,SP3,6,2018
7/1/2018,2,UE,FR1,7,2018
7/1/2018,31,UE,IT2,7,2018
7/1/2018,1,UE,IT2,7,2018
7/1/2018,30,UE,SP3,7,2018
8/1/2018,5,UE,FR1,8,2018
8/1/2018,66,UE,IT2,8,2018
8/1/2018,2,UE,IT2,8,2018
8/1/2018,13,UE,SP3,8,2018
8/1/2018,3,UE,SP3,8,2018
9/1/2018,10,UE,FR1,9,2018
9/1/2018,32,UE,IT2,9,2018
9/1/2018,11,UE,IT2,9,2018
10/1/2018,8,UE,FR1,10,2018
10/1/2018,1,UE,FR1,10,2018
10/1/2018,29,UE,IT2,10,2018
11/1/2018,5,UE,FR1,11,2018
11/1/2018,32,UE,IT2,11,2018
11/1/2018,30,UE,IT2,11,2018
11/1/2018,2,UE,SP3,11,2018
